Comment,Designator,Footprint,LCSC
100k,"R1,R7,R8",R_0805_2012Metric,C149504
150k,"R10,R3,R5",R_0805_2012Metric,C17470
200,"R11,R12,R13,R14",R_0805_2012Metric,C17540
22,"R2,R4,R6,R9",R_0805_2012Metric,C17561
MMBT5551L,"Q1,Q2,Q3,Q4",SOT-23,C2145
SFH_203_PFA,"D3,D4,D6",XDCR_SFH_203_PFA,C554984
TSAL4400,"D1,D2,D5,D8",LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_IRBlack,C94135
SolderJumper_2_Open,JP10,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
22uF,C1,C_1206_3216Metric,
SolderJumper_2_Open,JP3,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
SolderJumper_2_Open,JP20,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
TestPoint,TP5,TestPoint_Pad_D1.0mm,
SolderJumper_2_Open,JP11,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
TestPoint,TP2,TestPoint_Pad_D1.0mm,
SolderJumper_2_Open,JP7,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
TestPoint,TP7,TestPoint_Pad_D1.0mm,
22uF,C7,C_1206_3216Metric,
SolderJumper_2_Open,JP15,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
SolderJumper_2_Open,JP19,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
SolderJumper_2_Open,JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
SolderJumper_2_Open,JP16,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
SolderJumper_2_Open,JP8,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
10uF,C4,C_1206_3216Metric,
SolderJumper_2_Open,JP18,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
TestPoint,TP4,TestPoint_Pad_D1.0mm,
Conn_02x14_Odd_Even,J2,JST_PHD_B28B-PHDSS_2x14_P2.00mm_Vertical,
10uF,C8,C_1206_3216Metric,
SolderJumper_2_Open,JP17,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
SolderJumper_2_Open,JP13,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
TestPoint,TP6,TestPoint_Pad_D1.0mm,
TestPoint,TP1,TestPoint_Pad_D1.0mm,
SolderJumper_2_Open,JP14,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
SolderJumper_2_Open,JP4,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
TestPoint,TP3,TestPoint_Pad_D1.0mm,
SolderJumper_2_Open,JP9,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
SolderJumper_2_Open,JP5,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
10uF,C2,C_1206_3216Metric,
22uF,C3,C_1206_3216Metric,
SolderJumper_2_Open,JP2,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
SolderJumper_2_Open,JP12,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
SolderJumper_2_Open,JP6,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
